Iteration,birefringence active L2,birefringence active negative penalty
1,0.3644751310348511,0.0
2,0.3592052757740021,0.0
3,0.35466763377189636,0.0
4,0.3513270616531372,0.0
5,0.3467436134815216,0.0
6,0.3421402871608734,0.0
7,0.3366360664367676,0.0
8,0.33120763301849365,0.0
9,0.3245808780193329,0.0
10,0.31702423095703125,0.0
11,0.30949029326438904,0.0
12,0.3015696704387665,0.0
13,0.29584869742393494,0.0
14,0.28909632563591003,0.0
15,0.2845873236656189,0.0
16,0.28035053610801697,0.0
17,0.27732139825820923,0.0
18,0.2740899920463562,0.0
19,0.2713238298892975,0.0
20,0.2683262825012207,0.0
21,0.26554983854293823,0.0
22,0.2625996768474579,0.0
23,0.2598145008087158,0.0
24,0.256927490234375,0.0
25,0.25415414571762085,0.0
26,0.2513172924518585,0.0
27,0.24858061969280243,0.0
28,0.2458103746175766,0.0
29,0.24314112961292267,0.0
30,0.24045373499393463,0.0
31,0.23789484798908234,0.0
32,0.23531970381736755,0.0
33,0.23287534713745117,0.0
34,0.23040689527988434,0.0
35,0.22805729508399963,0.0
36,0.22569045424461365,0.0
37,0.22342610359191895,0.0
38,0.22114400565624237,0.0
39,0.21895764768123627,0.0
40,0.21675848960876465,0.0
41,0.21464607119560242,0.0
42,0.21252483129501343,0.0
43,0.21048791706562042,0.0
44,0.2084425389766693,0.0
45,0.20647414028644562,0.0
46,0.20450226962566376,0.0
47,0.20260044932365417,0.0
48,0.20069971680641174,0.0
49,0.19886411726474762,0.0
50,0.19703322649002075,0.0
51,0.19525699317455292,0.0
52,0.19348949193954468,0.0
53,0.19177128374576569,0.0
54,0.19006465375423431,0.0
55,0.1883998066186905,0.0
56,0.1867523044347763,0.0
57,0.18514013290405273,0.0
58,0.18354865908622742,0.0
59,0.18198910355567932,0.0
60,0.18045593798160553,0.0
61,0.1789480596780777,0.0
62,0.1774628609418869,0.0
63,0.17600682377815247,0.0
64,0.17457315325737,0.0
65,0.17316533625125885,0.0
66,0.17178066074848175,0.0
67,0.17042064666748047,0.0
68,0.16908422112464905,0.0
69,0.16777051985263824,0.0
70,0.16647908091545105,0.0
71,0.16520939767360687,0.0
72,0.16396191716194153,0.0
73,0.1627366691827774,0.0
74,0.16153278946876526,0.0
75,0.16034835577011108,0.0
76,0.15918543934822083,0.0
77,0.15804456174373627,0.0
78,0.1569204032421112,0.0
79,0.15581652522087097,0.0
80,0.1547340601682663,0.0
81,0.1536695510149002,0.0
82,0.1526239961385727,0.0
83,0.1515968143939972,0.0
84,0.15058907866477966,0.0
85,0.14959703385829926,0.0
86,0.14862258732318878,0.0
87,0.1476661115884781,0.0
88,0.1467280238866806,0.0
89,0.14580748975276947,0.0
90,0.1449039876461029,0.0
91,0.14401720464229584,0.0
92,0.14314530789852142,0.0
93,0.14228977262973785,0.0
